Time	X	dW
0.1	1	0.40448
0.2	1.88649	-0.42732
0.3	2.74034	0.07772
0.4	2.42083	-0.02855
0.5	3.05806	-0.13342
0.6	2.73898	0.34651
0.7	3.30943	0.27262
0.8	2.86822	-0.40502
0.9	3.33923	-0.47256
1	2.93673	-0.39758
1.1	3.31849	-0.25802
1.2	2.85613	-0.10777
1.3	3.08191	0.35812
1.4	2.54384	0.39058
1.5	2.73819	0.3531
1.6	2.46008	-0.41804
1.7	2.49724	-0.30243
1.8	1.90552	0.01339
1.9	1.70059	0.47852
2	1.53392	-0.25095
2.1	1.14991	0.34617
2.2	0.716539	0.33552
2.3	0.504654	0.36468
2.4	0.42028	-0.32348
2.5	-0.16652	0.42606
2.6	-0.202762	-0.32846
2.7	-0.805577	0.44736
2.8	-0.941786	0.05871
2.9	-1.39194	0.40199
3	-1.51876	0.25075
3.1	-1.8413	-0.14857
3.2	-1.98023	-0.05566
3.3	-2.39913	0.29374
3.4	-2.3968	-0.48117
3.5	-2.78151	0.07369
3.6	-2.75108	-0.42231
3.7	-3.06489	-0.30036
3.8	-2.97543	-0.38936
3.9	-3.23964	-0.05472
4	-3.01931	0.32339
4.1	-3.27676	-0.0467
4.2	-3.01339	0.19955
4.3	-3.19553	0.16334
4.4	-2.90157	0.4469
4.5	-3.02353	0.42944
4.6	-2.67679	0.43298
4.7	-2.55181	-0.42143
4.8	-2.21931	-0.0935
4.9	-2.22597	0.18135
5	-1.70278	-0.34485
5.1	-1.54352	-0.449
5.2	-1.42168	0.4822
5.3	-1.08945	0.13189
5.4	-0.628424	-0.15246
5.5	-0.347088	-0.28737
5.6	-0.0790837	0.08394
5.7	0.305403	-0.42947
5.8	0.52728	0.1403
5.9	0.770516	0.48691
6	1.14637	-0.01923
6.1	1.44882	0.35345
6.2	1.68705	0.15113
6.3	2.04295	-0.08586
6.4	2.11542	-0.42391
6.5	2.49462	-0.18521
6.6	2.52865	-0.21822
6.7	2.81476	-0.46012
6.8	2.84332	-0.03601
6.9	3.10637	-0.17172
7	3.04075	0.19389
7.1	3.21809	-0.47781
7.2	3.06204	-0.34699
7.3	3.24999	-0.37418
7.4	2.9981	0.14955
7.5	3.05395	0.34854
7.6	2.76137	0.3911
7.7	2.85107	-0.05647
7.8	2.4297	0.34708
7.9	2.57648	-0.30838
8	2.14797	-0.10645
8.1	2.0889	-0.22268
8.2	1.46208	0.45416
8.3	1.26479	0.48567
8.4	0.945355	0.29954
8.5	0.727626	0.23897
8.6	0.454227	0.02284
8.7	0.0512246	0.396
8.8	-0.164994	0.03204
8.9	-0.398489	-0.15995
9	-0.796233	0.11473
9.1	-1.02915	-0.19272
9.2	-1.39034	0.41015
9.3	-1.65931	-0.10877
9.4	-1.86332	-0.06313
9.5	-2.21696	0.37671
9.6	-2.29359	0.49133
9.7	-2.62133	0.42154
9.8	-2.65873	0.3128
9.9	-2.93842	-0.37275
10	-2.9354	0.00406
10.1	-3.15601	-0.42177
10.2	-3.0883	-0.36933
10.3	-3.24124	0.23934
10.4	-3.08038	0.053
10.5	-3.18088	-0.41831
10.6	-2.96503	-0.26756
10.7	-2.99052	-0.27825
10.8	-2.76931	0.21291
10.9	-2.66981	-0.41622
11	-2.41982	0.10738
11.1	-2.36378	0.21498
11.2	-2.01226	0.17753
11.3	-1.77728	-0.10126
11.4	-1.56751	0.32301
11.5	-1.34806	0.30131
11.6	-0.82863	-0.18013
11.7	-0.558634	-0.4999
11.8	-0.215396	-0.40244
11.9	-0.143145	0.4404
12	0.303621	0.2068
12.1	0.638088	0.18347
12.2	0.940943	0.14782
12.3	1.30192	-0.03635
12.4	1.44901	0.44731
12.5	1.84955	0.17964
12.6	2.04079	0.05158
12.7	2.31505	-0.30222
12.8	2.44684	-0.12746
12.9	2.70903	-0.27944
13	2.80996	0.45643
13.1	3.02939	-0.04019
13.2	3.0037	0.00164
13.3	3.19584	-0.00623
13.4	3.08444	-0.20454
13.5	3.22567	0.32128
13.6	3.06483	0.40024
13.7	3.12101	0.16629
13.8	2.99386	-0.47124
13.9	3.0259	-0.42652
14	2.58979	0.30079
14.1	2.76904	-0.47417
14.2	2.46559	-0.44134
14.3	2.29694	-0.32238
14.4	1.6831	0.47574
14.5	1.52135	0.26675
14.6	1.41069	-0.26278
14.7	0.920947	0.30468
14.8	0.562444	0.37517
14.9	0.686578	-0.43563
15	-0.002387	0.16612
15.1	-0.0917509	-0.29006
15.2	-0.492286	-0.1663
15.3	-0.717856	-0.33916
15.4	-0.919937	-0.47887
15.5	-1.44847	-0.13916
15.6	-1.70251	0.45471
15.7	-2.04252	0.11085
15.8	-2.18479	-0.09799
15.9	-2.47938	-0.11101
16	-2.57906	0.17227
16.1	-2.82095	0.35837
16.2	-2.82703	0.41117
16.3	-3.08822	-0.27329
16.4	-3.05984	-0.09485
16.5	-3.21326	0.13763
16.6	-3.11295	-0.14154
16.7	-3.21873	0.32031
16.8	-3.05196	0.30897
16.9	-3.0705	-0.01812
17	-2.8472	0.03647
17.1	-2.85897	0.22871
17.2	-2.59491	0.24422
17.3	-2.41693	-0.46011
17.4	-2.09303	-0.29418
17.5	-1.93661	-0.42119
17.6	-1.59262	-0.27654
17.7	-1.38966	-0.15373
17.8	-1.06355	-0.0393
17.9	-0.795025	-0.43042
18	-0.471255	-0.4954
18.1	-0.161451	-0.35321
18.2	0.166096	-0.2952
18.3	0.480102	-0.11242
18.4	0.58805	0.43868
18.5	1.09209	-0.21303
18.6	1.20085	0.46617
18.7	1.60337	-0.42214
18.8	1.86524	0.21484
18.9	2.09413	-0.44032
19	2.33447	-0.04142
19.1	2.61922	0.16839
19.2	2.6847	-0.10938
19.3	2.85564	-0.41962
19.4	2.88278	-0.38076
19.5	3.14291	-0.02212
19.6	3.10215	0.17971
19.7	3.21939	-0.18578
19.8	3.10359	-0.09575
19.9	3.21104	-0.4616
20	2.9968	-0.05242
20.1	3.05957	-0.29234
20.2	2.72231	0.30152
20.3	2.64169	0.40172
20.4	2.51891	-0.25558
20.5	2.49836	-0.396
20.6	2.20857	-0.40338
20.7	2.00794	-0.34748
20.8	1.57746	-0.20885
20.9	1.14009	0.31039
21	0.832311	0.12823
21.1	0.672344	-0.11591
21.2	0.205418	0.21323
21.3	0.041944	-0.14197
21.4	-0.211505	-0.25343
21.5	-0.685951	0.49997
21.6	-0.902211	-0.15307
21.7	-1.31509	0.23398
21.8	-1.41295	-0.30635
21.9	-1.85323	0.27947
22	-1.94619	-0.3358
22.1	-2.15844	-0.49147
22.2	-2.39764	0.44752
22.3	-2.73183	0.06042
22.4	-2.74171	-0.47125
22.5	-3.01193	0.10841
22.6	-3.01994	-0.061
22.7	-3.18151	-0.11519
22.8	-3.12391	-0.35136
22.9	-3.21899	0.25328
23	-3.08474	-0.08189
23.1	-3.12328	-0.30671
23.2	-2.92779	-0.08756
23.3	-2.97517	0.32105
